Person.id|Organisation.id|workFrom
12094627905604|897|2009
12094627905604|887|2008
12094627905604|888|2012
12094627905604|890|2011
12094627905604|893|2009
2199023255625|938|2004
2199023255625|908|2003
2199023255625|927|2004
2199023255600|832|2012
2199023255600|842|2007
2199023255600|829|2009
16492674416673|134|2003
16492674416673|8|2004
16492674416673|11|2002
13194139533352|166|2007
13194139533352|156|2007
3298534883391|486|2005
3298534883391|457|2005
5497558138966|779|2003
5497558138966|796|2004
5497558138966|797|2003
5497558138966|782|2004
5497558138966|783|2003
14293651161159|1117|2002
14293651161159|1118|2002
2199023255633|803|2004
13194139533342|1256|2003
13194139533342|1243|2007
13194139533342|1245|2005
2199023255565|1331|2010
2199023255565|1348|2011
2199023255565|1326|2006
15393162788910|802|2010
15393162788910|781|2010
12094627905580|1053|2008
9895604650009|624|2006
9895604650009|642|2006
9895604650009|630|2006
9895604650009|621|2007
9895604650009|622|2007
12094627905563|980|2008
7696581394433|496|2008
7696581394433|514|2007
7696581394433|293|2008
15393162788920|305|2008
15393162788920|771|2004
15393162788920|299|2006
15393162788920|300|2004
15393162788920|303|2007
96|914|2012
96|920|2000
96|937|2010
96|905|2007
96|909|2010
3298534883331|1056|2004
3298534883331|1075|2004
3298534883331|1034|2004
3298534883331|1070|2003
10995116277811|708|2009
9895604650074|1558|2003
9895604650074|1559|2003
10995116277826|919|2001
10995116277826|920|1999
10995116277826|937|2000
10995116277826|911|2001
3298534883350|671|2006
12094627905543|912|2008
12094627905543|934|2008
12094627905543|924|2007
12094627905543|926|2007
9895604650020|933|2006
10995116277764|1562|2008
10995116277764|1563|2007
10995116277764|1564|2008
6597069766676|776|2011
8796093022231|1472|2010
8796093022231|1490|2010
8796093022231|1445|2009
8796093022231|1516|2010
8796093022231|1453|2010
5497558138885|1139|2009
5497558138885|597|2009
5497558138885|814|2010
12094627905619|1089|2005
12094627905619|1057|2004
12094627905619|1098|2005
12094627905619|1101|2005
8796093022217|103|2005
3298534883397|676|2000
3298534883397|677|2000
3298534883397|680|2002
3298534883397|668|2001
4398046511186|706|2003
4398046511186|810|2003
4398046511186|811|2003
4398046511186|812|2004
13194139533324|296|2009
13194139533324|298|2010
3298534883392|286|2003
12094627905567|448|2003
12094627905567|459|2002
12094627905567|462|2002
2199023255593|912|2005
2199023255593|937|2006
2199023255593|922|2005
6597069766710|259|2007
6597069766710|937|2011
3298534883405|465|2006
7696581394520|915|2009
7696581394520|923|2001
7696581394520|927|2003
9895604650036|676|2003
9895604650036|680|2002
7696581394490|766|2007
1099511627782|930|2005
1099511627782|936|2006
1099511627782|921|2006
1099511627782|923|2007
15393162788888|917|2009
15393162788888|919|2012
15393162788888|937|2005
15393162788888|938|1999
15393162788888|906|2005
13194139533350|805|2004
13194139533350|806|2006
13194139533350|791|2004
13194139533350|793|2005
10995116277851|1177|2003
12094627905550|593|2002
12094627905550|1011|2002
12094627905550|598|2004
12094627905550|605|2003
16492674416675|896|2011
16492674416675|897|2010
16492674416675|364|2011
16492674416675|895|2010
5497558138940|482|2010
13194139533405|21|2008
13194139533405|30|2007
13194139533405|31|2008
7696581394474|9|2012
7696581394474|11|2004
7696581394479|1227|2003
7696581394479|1228|2005
7696581394479|1230|2004
6597069766675|1569|2008
6597069766675|1573|2008
6597069766675|1574|2008
6597069766735|984|2000
6597069766735|985|2001
94|928|2001
94|937|2000
94|910|2001
65|758|2008
14293651161162|921|2006
14293651161162|922|2006
14293651161162|925|2006
14293651161162|927|2007
14293651161168|892|2003
7696581394434|999|2008
7696581394434|569|2010
7696581394434|555|2009
2199023255628|1176|2012
2199023255628|1178|2011
2199023255628|861|2011
9895604650002|1153|2002
9895604650002|1166|2002
9895604650002|1151|2003
5497558138908|1248|2009
5497558138908|1239|2009
16492674416738|933|2008
16492674416738|918|2007
16492674416738|919|2008
16492674416738|926|2009
8796093022251|913|2007
8796093022251|930|2005
1099511627861|928|2009
1099511627861|913|2008
1099511627861|924|2009
1099511627861|813|2008
1099511627786|443|2008
1099511627786|446|2009
1099511627786|463|2009
6597069766688|800|2001
6597069766688|784|2001
6597069766688|808|2003
6597069766688|780|2003
16492674416689|937|2003
3298534883367|1093|2007
3298534883367|1095|2007
3298534883367|1047|2007
3298534883367|1083|2007
9895604650000|971|2008
9895604649984|932|2007
9895604649984|918|2005
7696581394461|934|2006
7696581394461|911|2005
16492674416674|22|2009
16492674416674|31|2007
3298534883365|914|2011
3298534883365|915|2004
3298534883365|937|2006
